2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12,2010-11,2009-10,2008-09,2007-08,2006-07,2005-06,2004-05,2003-04,2002-03,2001-02,2000-01,1999-00,1998-99,1997-98,1996-97
Boston Celtics,Milwaukee Bucks,Los Angeles Lakers,Toronto Raptors,Golden State Warriors,Golden State Warriors,Cleveland Cavaliers,Golden State Warriors,San Antonio Spurs,Miami Heat,Miami Heat,Dallas Mavericks,Los Angeles Lakers,Los Angeles Lakers,Boston Celtics,San Antonio Spurs,Miami Heat,San Antonio Spurs,Detroit Pistons,San Antonio Spurs,Los Angeles Lakers,Los Angeles Lakers,Los Angeles Lakers,San Antonio Spurs,Chicago Bulls,Chicago Bulls
Golden State Warriors,Phoenix Suns,Miami Heat,Golden State Warriors,Cleveland Cavaliers,Cleveland Cavaliers,Golden State Warriors,Cleveland Cavaliers,Miami Heat,San Antonio Spurs,Oklahoma City Thunder,Miami Heat,Boston Celtics,Orlando Magic,Los Angeles Lakers,Cleveland Cavaliers,Dallas Mavericks,Detroit Pistons,Los Angeles Lakers,New Jersey Nets,New Jersey Nets,Philadelphia 76ers,Indiana Pacers,New York Knicks,Utah Jazz,Utah Jazz
Miami Heat,Atlanta Hawks,Boston Celtics,Milwaukee Bucks,Houston Rockets,Boston Celtics,Oklahoma City Thunder,Houston Rockets,Indiana Pacers,Indiana Pacers,Boston Celtics,Chicago Bulls,Orlando Magic,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Detroit Pistons,Miami Heat,Indiana Pacers,Dallas Mavericks,Sacramento Kings,Milwaukee Bucks,Portland Trail Blazers,Indiana Pacers,Indiana Pacers,Houston Rockets
Milwaukee Bucks,LA Clippers,Denver Nuggets,Portland Trail Blazers,Boston Celtics,San Antonio Spurs,Toronto Raptors,Atlanta Hawks,Oklahoma City Thunder,Memphis Grizzlies,San Antonio Spurs,Oklahoma City Thunder,Phoenix Suns,Denver Nuggets,San Antonio Spurs,Utah Jazz,Phoenix Suns,Phoenix Suns,Minnesota Timberwolves,Detroit Pistons,Boston Celtics,San Antonio Spurs,New York Knicks,Portland Trail Blazers,Los Angeles Lakers,Miami Heat
Philadelphia 76ers,Brooklyn Nets,Toronto Raptors,Philadelphia 76ers,New Orleans Pelicans,Washington Wizards,Miami Heat,Los Angeles Clippers,Washington Wizards,Golden State Warriors,Philadelphia 76ers,Memphis Grizzlies,Cleveland Cavaliers,Houston Rockets,New Orleans Hornets,Chicago Bulls,Los Angeles Clippers,Seattle SuperSonics,New Jersey Nets,Sacramento Kings,Dallas Mavericks,Charlotte Hornets,Miami Heat,Utah Jazz,Charlotte Hornets,New York Knicks
Dallas Mavericks,Philadelphia 76ers,LA Clippers,Denver Nuggets,Philadelphia 76ers,Houston Rockets,San Antonio Spurs,Washington Wizards,Los Angeles Clippers,New York Knicks,Indiana Pacers,Atlanta Hawks,San Antonio Spurs,Boston Celtics,Cleveland Cavaliers,Phoenix Suns,Cleveland Cavaliers,Dallas Mavericks,Sacramento Kings,Los Angeles Lakers,Charlotte Hornets,Toronto Raptors,Philadelphia 76ers,Los Angeles Lakers,San Antonio Spurs,Seattle SuperSonics
Memphis Grizzlies,Utah Jazz,Milwaukee Bucks,Houston Rockets,Utah Jazz,Toronto Raptors,Portland Trail Blazers,Memphis Grizzlies,Portland Trail Blazers,Oklahoma City Thunder,Los Angeles Lakers,Boston Celtics,Utah Jazz,Dallas Mavericks,Utah Jazz,New Jersey Nets,San Antonio Spurs,Indiana Pacers,San Antonio Spurs,Philadelphia 76ers,Detroit Pistons,Dallas Mavericks,Phoenix Suns,Philadelphia 76ers,New York Knicks,Los Angeles Lakers
Minnesota Timberwolves,Denver Nuggets,Houston Rockets,Boston Celtics,Toronto Raptors,Utah Jazz,Atlanta Hawks,Chicago Bulls,Brooklyn Nets,Chicago Bulls,Los Angeles Clippers,Los Angeles Lakers,Atlanta Hawks,Atlanta Hawks,Orlando Magic,Golden State Warriors,New Jersey Nets,Washington Wizards,Miami Heat,Boston Celtics,San Antonio Spurs,Sacramento Kings,Utah Jazz,Atlanta Hawks,Seattle SuperSonics,Atlanta Hawks
New Orleans Pelicans,Dallas Mavericks,Oklahoma City Thunder,San Antonio Spurs,Indiana Pacers,LA Clippers,Charlotte Hornets,San Antonio Spurs,Atlanta Hawks,Brooklyn Nets,Denver Nuggets,New Orleans Hornets,Milwaukee Bucks,Chicago Bulls,Atlanta Hawks,Houston Rockets,Los Angeles Lakers,Boston Celtics,New Orleans Hornets,Orlando Magic,Indiana Pacers,New York Knicks,Milwaukee Bucks,Detroit Pistons,Houston Rockets,Detroit Pistons
Phoenix Suns,Los Angeles Lakers,Utah Jazz,LA Clippers,Milwaukee Bucks,Atlanta Hawks,Indiana Pacers,Brooklyn Nets,Dallas Mavericks,Atlanta Hawks,Memphis Grizzlies,Orlando Magic,Dallas Mavericks,Miami Heat,Houston Rockets,Dallas Mavericks,Chicago Bulls,Houston Rockets,Dallas Mavericks,Portland Trail Blazers,Philadelphia 76ers,Utah Jazz,Sacramento Kings,Miami Heat,Miami Heat,Orlando Magic
Utah Jazz,Portland Trail Blazers,Dallas Mavericks,Brooklyn Nets,Oklahoma City Thunder,Chicago Bulls,Boston Celtics,Milwaukee Bucks,Golden State Warriors,Boston Celtics,Atlanta Hawks,Portland Trail Blazers,Denver Nuggets,Philadelphia 76ers,Philadelphia 76ers,Toronto Raptors,Indiana Pacers,Chicago Bulls,Denver Nuggets,Indiana Pacers,Seattle SuperSonics,Indiana Pacers,Seattle SuperSonics,Sacramento Kings,Minnesota Timberwolves,Phoenix Suns
Atlanta Hawks,Boston Celtics,Orlando Magic,Oklahoma City Thunder,Washington Wizards,Memphis Grizzlies,LA Clippers,Dallas Mavericks,Memphis Grizzlies,Denver Nuggets,Chicago Bulls,San Antonio Spurs,Oklahoma City Thunder,Portland Trail Blazers,Washington Wizards,Denver Nuggets,Sacramento Kings,Denver Nuggets,Houston Rockets,Milwaukee Bucks,Toronto Raptors,Minnesota Timberwolves,Charlotte Hornets,Houston Rockets,Atlanta Hawks,Portland Trail Blazers
Chicago Bulls,Memphis Grizzlies,Portland Trail Blazers,Orlando Magic,Miami Heat,Milwaukee Bucks,Dallas Mavericks,Portland Trail Blazers,Toronto Raptors,Houston Rockets,New York Knicks,Denver Nuggets,Portland Trail Blazers,New Orleans Hornets,Dallas Mavericks,Los Angeles Lakers,Washington Wizards,Philadelphia 76ers,Milwaukee Bucks,Minnesota Timberwolves,Orlando Magic,Orlando Magic,Minnesota Timberwolves,Minnesota Timberwolves,Cleveland Cavaliers,Charlotte Hornets
Denver Nuggets,New York Knicks,Brooklyn Nets,Utah Jazz,Minnesota Timberwolves,Oklahoma City Thunder,Houston Rockets,Boston Celtics,Houston Rockets,Los Angeles Clippers,Orlando Magic,Indiana Pacers,Chicago Bulls,San Antonio Spurs,Phoenix Suns,Miami Heat,Denver Nuggets,Sacramento Kings,Boston Celtics,New Orleans Hornets,Utah Jazz,Phoenix Suns,San Antonio Spurs,Orlando Magic,Phoenix Suns,Los Angeles Clippers
Toronto Raptors,Washington Wizards,Indiana Pacers,Detroit Pistons,San Antonio Spurs,Indiana Pacers,Detroit Pistons,New Orleans Pelicans,Chicago Bulls,Los Angeles Lakers,Dallas Mavericks,Philadelphia 76ers,Miami Heat,Utah Jazz,Toronto Raptors,Orlando Magic,Milwaukee Bucks,Memphis Grizzlies,Memphis Grizzlies,Phoenix Suns,Minnesota Timberwolves,Miami Heat,Detroit Pistons,Milwaukee Bucks,Portland Trail Blazers,Minnesota Timberwolves
Brooklyn Nets,Miami Heat,Philadelphia 76ers,Indiana Pacers,Portland Trail Blazers,Portland Trail Blazers,Memphis Grizzlies,Toronto Raptors,Charlotte Bobcats,Milwaukee Bucks,Utah Jazz,New York Knicks,Charlotte Bobcats,Detroit Pistons,Denver Nuggets,Washington Wizards,Memphis Grizzlies,New Jersey Nets,New York Knicks,Utah Jazz,Portland Trail Blazers,Portland Trail Blazers,Toronto Raptors,Phoenix Suns,New Jersey Nets,Washington Bullets
